epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.09,1.67638,1.46712,1.04684,0.84071,0.68203,0.76481,0.46565,1.58206,1.09595,0.9924,0.000166547,0.000166547,0.000166547
2,533.849,1.56483,1.12818,1.00021,0.84572,0.74236,0.8137,0.48188,1.50731,1.00733,0.97028,0.000326586,0.000326586,0.000326586
3,779.148,1.55685,1.10714,0.99752,0.86712,0.72613,0.80816,0.48465,1.51621,1.0185,0.97537,0.000479959,0.000479959,0.000479959
4,1019.57,1.5413,1.10546,0.99775,0.8557,0.75514,0.82293,0.49474,1.50225,1.00482,0.96559,0.000626669,0.000626669,0.000626669
5,1264.5,1.52936,1.07985,0.99422,0.86423,0.75192,0.81847,0.48825,1.49305,1.00403,0.97018,0.000766713,0.000766713,0.000766713
6,1505.06,1.53199,1.07287,0.9862,0.87621,0.75636,0.83428,0.50584,1.46474,0.94751,0.96058,0.000900093,0.000900093,0.000900093
7,1745.16,1.51312,1.05685,0.99162,0.86058,0.77346,0.84078,0.51162,1.45921,0.95115,0.96084,0.00102681,0.00102681,0.00102681
8,1983.91,1.50594,1.04772,0.98465,0.86493,0.78468,0.84916,0.52179,1.43169,0.92949,0.95358,0.00114686,0.00114686,0.00114686
9,2222.5,1.50225,1.04961,0.98196,0.89189,0.77492,0.84568,0.51905,1.4332,0.92847,0.95462,0.00126024,0.00126024,0.00126024
10,2461.24,1.48384,1.02824,0.97899,0.878,0.78875,0.85262,0.52732,1.42831,0.92733,0.94985,0.00136696,0.00136696,0.00136696
11,2708.43,1.48174,1.00879,0.97176,0.88116,0.78053,0.85524,0.53229,1.41485,0.9094,0.94819,0.00133377,0.00133377,0.00133377
12,2962.49,1.47993,1.00442,0.97006,0.88904,0.78555,0.86245,0.53073,1.41024,0.89095,0.94695,0.00130044,0.00130044,0.00130044
13,3227.63,1.4577,0.9794,0.97105,0.89228,0.79437,0.86226,0.53513,1.40158,0.88648,0.9441,0.00126712,0.00126712,0.00126712
14,3464.81,1.44664,0.96876,0.96221,0.89233,0.79786,0.87096,0.54322,1.38954,0.87334,0.94141,0.0012338,0.0012338,0.0012338
15,3700.46,1.44469,0.9581,0.96527,0.88279,0.80603,0.87378,0.54608,1.38132,0.8618,0.9374,0.00120047,0.00120047,0.00120047
16,3936.31,1.43021,0.95083,0.96517,0.8987,0.8016,0.87881,0.54881,1.38301,0.84787,0.93907,0.00116715,0.00116715,0.00116715
17,4174.6,1.43172,0.93631,0.96157,0.89269,0.80781,0.87136,0.55198,1.37897,0.84932,0.94101,0.00113383,0.00113383,0.00113383
18,4413.5,1.42365,0.93583,0.95823,0.88,0.81494,0.8773,0.55385,1.36856,0.85235,0.9358,0.0011005,0.0011005,0.0011005
19,4650.26,1.41707,0.9287,0.96057,0.90009,0.80632,0.8787,0.554,1.36976,0.84124,0.93665,0.00106718,0.00106718,0.00106718
20,4886.63,1.40745,0.91527,0.95343,0.88667,0.82362,0.88063,0.5584,1.36168,0.82883,0.93618,0.00103386,0.00103386,0.00103386
21,5123.62,1.39883,0.90832,0.95104,0.89882,0.82051,0.88341,0.56146,1.36495,0.81776,0.93228,0.00100053,0.00100053,0.00100053
22,5362.89,1.39805,0.90865,0.95451,0.89248,0.82306,0.88354,0.56277,1.35468,0.82416,0.93343,0.00096721,0.00096721,0.00096721
23,5599.71,1.38678,0.89119,0.94739,0.91194,0.81182,0.8838,0.56104,1.35523,0.82716,0.92877,0.000933887,0.000933887,0.000933887
24,5835.37,1.39145,0.8873,0.9479,0.90062,0.82043,0.88557,0.56309,1.35256,0.81583,0.93086,0.000900563,0.000900563,0.000900563
25,6073.65,1.38743,0.88093,0.94595,0.90541,0.82735,0.89224,0.56915,1.34833,0.80266,0.93242,0.00086724,0.00086724,0.00086724
